,职位名称,详细链接,工作地点,薪资,公司名称,经验要求,学历,福利,职位信息,,,,,,,,,,,,,,,,,,,,
268,游戏数据分析师,https://www.lagou.com/jobs/6342782.html,浦东新区,13k-25k,网易（杭州）网络有限公司,3-5年,本科,年终奖金,六险一金,绩效奖金,包工作餐,岗位描述。参与公司各类的数据分析工作，为产品提供迭代开发数据支撑；。深入了解游戏行业，对游戏数据建立分析模型，获得用户行为动机、目的和原因；。研究游戏中各系统的设定，从数据中提出更优的改进策略；。探索及开发数据相关工具、应用，拓展或优化产品、用户研究方法或效率；。基于公司内外产品、用户及市场数据的研究和分析，建立产品/用户画像系统，形成系统化的分析体系。\xa0岗位要求：。本科及以上学历，3年及以上数据分析工作和挖掘经验；。熟悉一种及以上的面向对象编程语言及其思想，精通SQL；。熟悉分布式架构，有Hadoop/Hive使用经验；。熟悉Sql编程及性能调优，熟悉Linux常用命令，以及Python、Shell等脚本语言；。充分的数据敏感度，能从海量数据中提炼核心结论并形成专业报告，及时反馈数据中隐含的变化和问题；。热爱网络游戏，对游戏制作有一定了解者优先；。具有强烈的责任心和充分的主动性，能够积极主动的推进项目的进展；。优秀的分析问题和解决问题的能力，能够把合理的思路成功应用于实践；。具有良好的沟通能力和团队合作能力。,,,,,,,,,,,,,,,,,
269,数据分析师,https://www.lagou.com/jobs/6207098.html,黄浦区,20k-40k,京东数字科技控股有限公司,3-5年,本科,福利待遇、人才发展,职责说明：1、定义、挖掘、标准化系统用户行为数据。与开发、产品部门密切沟通，参与数科资管科技平台BI系统开发；\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa02、与产品部门配合，设计用户价值模型、各类用户画像指标、A/Btest数据测试工具；3、配合大数据团队分析客户潜在需求，撰写优化迭代产品策略报告。\xa0\xa0\xa0\xa0\xa0资历要求：1、三年以上BI数据工作经验，熟练掌握Google analytics、百度分析等BI工具使用场景，逻辑；金融基础知识扎实，了解金融科技平台基本业务逻辑；2、具备前端基础知识、熟练掌握POWERBI、Tableau等可视化分析工具；3、熟悉互联网行业，对行业状态、行业变化敏感，有独立理解和判断能力，较好的沟通协作能力、资源整合能力；4、有志从事互联网行业，高抗压能力，擅长从用户角度考虑问题，对用户需求有较好的识别判断能力。,,,,,,,,,,,,,,,,,,,,
271,Data Analyst数据分析师,https://www.lagou.com/jobs/6296744.html,静安区,15k-20k,艺电计算机软件（上海）有限公司,1-3年,本科,福利待遇佳,工作环境好, 知名IP,What a QV Data Analyst does at EA:- \xa0Receives questions from clients, understands the questions, and determines the data needed to find the solutions.- Conducts analysis using statistical software, databases, spreadsheets, and reporting tools.- Designs, evaluates, and monitors key metrics.- Develops and maintains scripts and queries to import, clean, transform, and augment data.- Builds live data dashboards complete with user documentation.- Designs and develops statistical analysis models for hypothesis testing, prediction, or inference.- Performs quality assurance to ensure accuracy and consistency for the information being delivered.- Presents analysis conclusions to clients in a clear, understandable, and valuable way.- Communicates clearly (and as often as needed) with team members and business partners.Our Next Data Analyst needs:Experience \xa0 \xa0 \xa0  \xa0 \xa01 – 3 years of work experience in a past analytical roleTools \xa0 \xa0- Performs data analysis using MS Excel or other similar tools with a high degree of proficiency.- Visualizes high readability data insights using software tools like Power BI, Tableau, or Excel.- Understands well how data is stored in databases and can write fast and reusable SQL code to retrieve it.- Writes efficient Python or R code to answer data analysis questions with a high degree of confidence.- Understands the requirements of the of Agile/Waterfall process and adjusts their work as needed.,,
272,客户成功数据分析师,https://www.lagou.com/jobs/4565235.html,徐汇区,10k-15k,哈步数据科技（上海）有限公司,1-3年,本科,发展空间大,管理扁平,弹性工作,福利好,主要任务：1）和大客户经理一同收集零售商和品牌商的需求，并进行归纳整理。\xa02）依照公司的整体产品开发战略路径，同软件产品开发团队共同制定和管理产品算法研发计划\xa03）负责严格执行产品算法及分析的研发计划\xa0\xa04）参与及协助公司的市场推广及新业务的开发\xa05）参与及协助招募及建立数据科学团队\xa06）负责定制化的数据分析咨询项目\xa0\xa0\xa0\xa0主要经验需求：\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa01）\xa0有2年以上海量数据处理的经验\xa0（金融&零售数据优先）2）有3年以上数据分析或数据建模的实战经验，熟练使用mysql,\xa0R，SAS,SPSS等工具\xa0\xa03）有与开发团队协作进行产品开发的经验\xa04）拥有团队协作精神并善于沟通和表达5）很强的自我驱动力、结果导向并极具责任感。6）有激情、毅力，正能量。7）有良好沟通能力和团队协作精神。8）有零售，消费，电商类数据分析经验者优先。,,,,,,,,,,,,,,,
273,数据策略分析专家,https://www.lagou.com/jobs/6257599.html,长宁区,15k-25k,思特沃克软件技术（成都）有限公司,3-5年,本科,扁平文化、开放创新、社会公正,职位背景及挑战我们正寻找一位擅长数字化产品传播/用户行为/绩效转化等数据及策略分析的专家来协助客户搭建数字化产品落地的指标体系，分析方法建模，输出具体的业务数据分析及数据诊断服务。主要工作职责主要支持：业务端运营数据分析，建模及指标体系搭建，业务及运营决策成效分析及策略优化，数据流程设计及优化。具体包含：? 通过业务研究，基于客户需求提供数据分析及埋点策略。? 设计搭建数据分析模型及KPI，验证反馈及优化。? 通过数据分析协助优化市场传播渠道，活动运营方案，促销策略等。? 跟踪用户端表现，通过用户行为及需求分析支持决策? 完成日常各种数据分析及策略组合成效分析。你将获得? 可以深入垂直行业，了解客户数据驱动业务策略? 从数据到业务，站在运营视角建立观测数据及BI能力? 广域的职业发展方向希望你? 数据思维，通过数据探索发现问题? 业务流程化思维? 有基础的数据分析能力? 对于数据运营及业务策略感兴趣，希望未来发展方向偏向于数据分析及业务策略方向的。,,,,,,,,,,,,,,,,,,,,
274,数据分析师,https://www.lagou.com/jobs/6319739.html,浦东新区,18k-25k,招商银行股份有限公司信用卡中心,应届毕业生,本科,高薪高成长 数据驱动的文化,招商银行信用卡中心校园招聘已正式开始，面向2020届同学（毕业时间为2019.8-2020.8）。数据分析师岗位包括模型研发、风险量化、风险研究、业务策略等方向。只要你是超级学霸/学术达人/竞赛大神/工程高手/实践达人……，欢迎投递简历。详情可通过公司招聘官网、官微进行了解。,,,,,,,,,,,,,,,,,,,,
275,数据分析师,https://www.lagou.com/jobs/6324016.html,浦东新区,20k-40k,上海名轩软件科技有限公司,3-5年,不限,发展空间较大,职责：\n 负责客户标签体系建设、客户画像构建；\n 建立和完善产品指标体系，为产品、运营优化提供数据依据；为数据驱动提供支持；\n要求：\n 计算机、统计、数据相关专业毕业；\n 精通SQL，精通业务、对数据敏感；\n 优秀的表达能力和团队合作精神；,,,,,,,,,,,,,,,,,,,,
276,游戏数据分析师（海外）,https://www.lagou.com/jobs/5151649.html,徐汇区,15k-30k,上海米哈游网络科技股份有限公司,3-5年,本科,六险一金,年度旅游,带薪休假,扁平化,岗位职责：\n \xa0 构建并完善游戏项目运营数据分析体系，提供日常游戏业务相关的数据支持；\n 针对游戏项目进行专项数据分析，包括并不限于用户价值、流失、游戏生态、活动版本效果等；\n 通过数据挖掘和探索分析用户行为数据、游戏数值设计合理性等信息，为游戏设计和产品设计提供指导；\n 研究游戏的用户精细化运营，如用户画像分析、全球不同区域的用户偏好等。\n 推进现有数据后台的优化及新功能的搭建。\n岗位要求：1.\xa0 至少2年以上从事游戏数据分析工作经验，对数据分析感兴趣；2.\xa0 对数据敏感，熟悉数据收集方法，精通数据分析，掌握数据建模基本原理和主要算法（决策树、回归分析等），了解服务器构架模式、数据库操作；3.\xa0 拥有海外手游完整项目数据分析经验，能够独立开展研究项目者优先；4.\xa0 具备良好的逻辑思维能力和分析能力，具备良好的团队协作能力。,,,,,,,,,,,,,,,,,
277,数据分析师,https://www.lagou.com/jobs/6327264.html,闵行区,6k-9k,上海楷青信息技术有限公司,不限,不限,弹性工作,快速成长,独当一面,您的工作范围，以下是概述，随着公司的发展，您的能力增长，工作的内容会变：\n 负责网络数据的抓取，汇总\n 负责数据库的表，存储过程，View的设计与实施\n 负责数据的准确性验证，与客户对接数据的校验\n 负责一些客户报表的定制化开发\n 负责一些模型的开发（协助）\n您需要的技能：\n Python\n SQL Server\n .net || Office VBA\n tableau PowerBI，这两个不会也没事\n您需要的其他素质：\n 认真，仔细，因为我们在于数字打交道\n 很好的职业操守（不是指加班，而是指能在规定时间完成工作）\n 最重要的一点：学习能力强,,,,,,,,,,,,,,,,,,
278,市场数据分析师,https://www.lagou.com/jobs/5610957.html,长宁区,10k-15k,携程计算机技术（上海）有限公司,1-3年,本科,国际业务,平台大, "Key Roles and Responsibilities:?\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Collaborate with marketing/operation/product teams to define and monitor Key Performance Indicators (KPIs) and metrics associated with business processes to support achievement of sales objectives?\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Work collaboratively with R&D team and BI team, understand how data is collected, manipulated and leveraged for marketing and analytics, and develop and maintain dashboards, including the creation of charts or other visualizations through Tableau or other BI tools to illustrate business performance?\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Develop deep understanding of global and local market landscape through aggregating Trip.coms internal data with that from external sources, analyze customer demographic and behavioral data to derive and optimize marketing and operational strategies, use analytical insights to answer business critical questions and provide support for business initiatives?\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Support ad-hoc analysis as requested?\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Identify opportunities to improve data integrity in partnership with BI teamQualifications:?\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 BA/BS degree in a quantitative field is required. Advanced degree in Statistics, Business Analytics, and computer science is preferred?\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 A minimum of 2 years marketing analytics and reporting experiences?\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Advanced knowledge of T-SQL, Excel, Google Analytics and BI tools is required?\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Good writing/reading/presenting/communication skills in English: comfortable with multi-cultural communication; knowledge of Thai/Russian/Spanish/Italian will be a plus?\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Strong logical thinking capability and business sense: capable of collecting key insights and delivering key messages?\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0 Highly dependable, self-initiated, fast learner"],,,,,,,
279,数据分析师,https://www.lagou.com/jobs/345524.html,普陀区,6k-10k,二十一世纪晨哨数据（上海）有限公司,3-5年,本科,-----全员期权 骨干股权-----,1、负责产业图谱的数据规划，设计图谱数据内容和结构，确定加工规则，输出规划文档2、负责中资海外并购交易案例及相关公司的信息搜集、打标签、录入数据库3、收集外部客户和内部领导同事反馈，优化数据结构工作内容1、参与设计产业图谱产品，按照产品定位构思和优化数据内容2、负责产业图谱数据搜集，制定加工规则并推行，反馈并优化数据搜集工作3、负责产业图谱展示方式和展示内容4、收集外部客户和内部领导同事反馈建议和意见，优化产业图谱产品数据结构5、搜集中资海外并购和参股交易信息（通过公开网站、信源抓取软件火车头和数据库等路径）6、把中资海外并购和参股交易的资讯正确打上一系列标签，相关交易信息正确录入EXCEL案例库和网上案例库，相关公司正确录入公司库7、撰写部分中资海外并购报告内容,,,,,,,,,,,,,,,,,,,,
280,高级数据分析师,https://www.lagou.com/jobs/6315582.html,浦东新区,13k-20k,上海宽睿信息科技有限责任公司,3-5年,硕士,发展空间大,1.有证券行业数据深度学习、文本挖掘领域项目经验优先；2.熟悉数据挖掘建模过程及主流算法；具有大数据系统架构能力，熟悉Spark等分布式机器学习框架，熟悉Hadoop/HBase/Hive等大数据处理平台相关数据挖掘、数据建模经验优先;3.熟练使用数据库，并至少熟练掌握一种语言。有SAS、R、Python项目经验优先；4.具有独立分析和解决实际业务问题的能力；熟悉相关算法；有相关利用机器学习和数据挖掘算法，包括但不限于决策树、支持向量机、线性回归、逻辑回归以及神经网络等算法工作经历优先。5.本科以上学历，硕士优先，3年以上工作经验，统计学、计算机科学、数学等相关专业。扎实的统计学、数据挖掘、机器学习理论基础。岗位职责：1.独立构建团队负责数据模型产品的开发，包括需求分析、模型设计、算法测试和优化；2.为特定业务提供模型算法和数据分析支持,,,,,,,,,,,,,,,,,,,,
281,数据分析师,https://www.lagou.com/jobs/6097518.html,闵行区,25k-40k,淘宝（中国）软件有限公司,应届毕业生,不限,阿里巴巴，完善福利,技术导向,支持业务: 移动产品的增长链路, 可能是: 获客, 功能体验, 转化, 运营.工作内容: 设计与开发指标和看板, 分析产品功能与用户行为. 输出分析报告和数据解决方案, 支持决策.基本要求:经验: 行为打点, 交易分析, 用户画像, 数仓中间表.知识: (可选) 数理统计知识, 基础的机器学习理论.工具: Presto, Hive 等查询语言. R 和 Python 数据科学工具链.,,,,,,,,
282,数据分析师,https://www.lagou.com/jobs/6040291.html,静安区,8k-15k,上海吃饱了信息科技有限公司,1-3年,本科,美食多多,弹性上班,免费体检，六险一金,职责描述：1、负责公司电商和新媒体部门的运营、销售数据的收集和汇总。2、拥有数据报表和业务监控指标建立的经验，配合公司现有数据产品资源，建立日报，周报和月报模版，帮助管理层、业务部门及时发现问题把握运营方向。3、推动底层数据建设，制定数据采集方法、数据使用规范、原数据管理。4、配合其他部门的需求，对用户行为数据进行数据挖掘、深度分析以及形成分析报告。任职要求：1、1-3年数据分析经验，丰富的电商行业数据分析、数据产品经验.2、熟悉使用SQL，熟悉一两种数据可视化工具，了解EXCEL数据透视表，拥有python经验更佳。3、具有较强的商业、数据和业务的敏感性，具备良好的逻辑分析能力。4、工作细心，执行能力强，善于应变突发情况。,,,,,,,,,,,,,,,,,,
283,广告数据分析师,https://www.lagou.com/jobs/6101298.html,长宁区,20k-35k,北京奇艺世纪科技有限公司,3-5年,本科,发展前景好,工作职责：负责广告数据分析相关工作，通过数据分析和数据挖掘，找出广告的问题，调优建议和方向。包括但不限于：\xa0（1）监控日常广告数据，定期输出相关结论和报告。\xa0（2）针对广告的数据走势，异常波动等情况，定期做出专项数据分析报告。\xa0（3）针对新实验/新功能的效果，进行数据分析，输出报告。\xa0（4）定期维护数据平台的广告数据，发现和跟进问题。\xa0（5）一些临时性的数据需求。工作要求：（1）2年以上数据分析经验，有互联网广告数据分析经验更佳；（2）有数据目标驱动的意识，能敏锐地通过观察数据发现业务变化和问题；（3）良好的逻辑思维能力，业务理解能力及较强的数据分析能力；（4）工作细致、认真、耐心，较强的沟通和协调能力，优秀的执行能力，对解决具有挑战性问题充满激情；\xa0（5）有强烈的责任感，具备良好的总结汇报能力和沟通能力。温馨提示：如果 7天内您没有收到爱奇艺的面试邀请，那么目前我们不会安排您参加后续的面试环节，感谢您的理解和对爱奇艺的关注与认可。,,,,,,,,,,,,,,,,,,,,
284,数据分析师,https://www.lagou.com/jobs/6249668.html,普陀区,8k-12k,上海爱奇尔贸易有限公司,1-3年,本科,跨国财团,14+薪,弹性工作,非外包项目,岗位职责:\xa01、负责公司电商各平台日常销售数据的统计、归类、整理，分析Amazon/ebay/aliexpress营运数据，监控运营成本；2、根据店铺运营数据需求，包括品牌、商品、运营、用户研究等各维度需求，提交数据需求并参与数据分析、数据挖掘工作；3、对运营、市场活动的数据进行挖掘和分析，对活动改进、流量/用户量提升予以数据支持；4、对销售部门的运营、新品开发、市场销售、产品定价、库存备货等各方面的数据分析、处理和研究工作予以支持；5、与IT开发部门沟通协作，协助开发并持续完善销售部门各项业务的数据统计分析模型，各项指标的定义以及统计口径逻辑，确保其准确性，实用性，并对Dashboard的数据采集、展示等提出修改意见，为决策层做销售策略提供数据支持；6、建立商品的评估指标，对品质数据进行分析，构建评价与监控体系，跟踪主要供给端/供应商商品品质，挖掘买家历史数据，定义用户标签（涉及商品品质、价格、货期要求等），实现商品推荐功能，提升平台交易转化率，建立供应商信息库，结合市场历史数据，预测各阶段热门商品，协助供给端提前BD核心商品/供应商。任职资格:\xa01、至少1-2年以上互联网业务数据分析、挖掘方面经验；2、优秀的沟通/协调/汇报和分析/解决问题的能力；3、熟悉数据统计、数据分析、数据挖掘等相关领域知识、算法或工具；4、热爱互联网行业，富有创业精神，有良好的抗压能力和充分的责任心。,,,,,,,,,,,,,,,,,
285,数据分析工程师,https://www.lagou.com/jobs/6089110.html,徐汇区,20k-28k,平安健康互联网股份有限公司上海分公司,3-5年,本科,世界500强、晋升空间大、福利待遇好,工作职责：  1.\xa0负责业务指标数据定义，数据维护和报表开发，建立线上数据监控分析体系；  2.\xa0负责日常流量和用户行为分析，指导产品、运营优化；  3.\xa0定期出具数据分析报告，内容涵盖app新功能/模块效果分析，大型促销活动效果分析，商城销售优化建议等等；  4.\xa0对核心业务数据进行挖掘，归纳用户特征和行为规律，支持业务更好地发展；  任职要求：  1.\xa0逻辑思维能力强，冷静，灵活；  2.\xa0本科及以上学历，统计学、计算机等相关专业；  3.\xa0有3年以上数据相关经验，熟悉数据库sql语言，具备自助取数能力，对互联网有热情；  4.\xa0有互联网公司从业背景优先。,,,,,,,,,,,,,,,,,,,,
286,风险数据分析师 (MJ001721),https://www.lagou.com/jobs/5695691.html,黄浦区,15k-30k,广州华多网络科技有限公司,3-5年,本科,福利多,平台大,岗位职责：1．基于历史数据和专家经验，通过数据分析、挖掘，设计与优化风控策略；2．根据业务上出现的指标变化快速进行场景推断并通过数据进行验证；3．将信审，催收反馈的具体案例或模糊描述进行逻辑抽象，分析背后原因；4．与大数据，产品、技术团队深度合作，推进风控策略落地。岗位要求：1．数学、统计、金融、管理科学、计算机等相关专业的硕士或以上学历；2．有两年以上数据分析相关工作经验，有东南亚现金贷（越南/印尼/菲律宾）数据分析经验的优先考虑；3．熟练的SQL 数据处理能力；熟练使用至少某一种专业分析工具，如SAS、Python、R 等；4．良好的分析问题和解决问题能力，自我驱动，并且具备较强的学习能力、创新应用能力及沟通协调能力。,,,,,,,,,,,,,,,,,,,
287,数据分析师,https://www.lagou.com/jobs/5985160.html,杨浦区,10k-18k,上海玳鸽信息技术有限公司,1-3年,硕士,团建旅游 企业培训,岗位职责：1、数据挖掘算法的设计和开发；2、在线和离线数据分析平台的设计和开发；3、工业数据挖掘系统的设计和实现。任职要求：1、本科及以上学历，计算机相关专业；2、熟悉常用的机器学习算法，了解不同模型的特性，具有灵活运用模型进行数据分析的能力；3、熟悉下列任意一种数据分析软件Scala/R/MATLAB/Python；4、具有行业数据分析经验，具有剩余寿命预测，故障诊断，故障预测等分析经验者优先；5、具有良好的沟通能力，和良好的团队合作精神；6、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情；\xa0\xa07、有以下任一领域有深入研究者优先：机器学习/统计学习/数据挖掘/计算机视觉/图像处理/博弈论/人工智能；\xa0 \xa08、有Spark、Storm使用经验者优先。基本要求：1、了解并使用过机器学习/数据挖掘方面的一些常用算法，包括但不限于以下其中至少一种：降维（PCA，kernel PCA，LDA等），分类（knn，逻辑回归，SVM，神经网络，深度学习等）、聚类（kmeans，谱聚类，DBSCAN等）、回归（样条回归，Ridge Regression，SVR等）、贝叶斯方法（EM，变分，MCMC等），对于自己了解的算法，能知道其优缺点以及适合的应用场景，并有实际使用的经验；2. 了解机器学习的基础知识，对机器学习的知识体系有较为清晰的概念和了解。,,,,,,,,,,,,,,,,,,,,
288,广告投放数据分析师,https://www.lagou.com/jobs/6347895.html,徐汇区,10k-15k,上海鹰角网络科技有限公司,1-3年,本科,年底双薪,五险一金,双休,团队氛围好,岗位职责：1. 负责游戏投放数据监控、预警、分析、挖掘工作，为广告投放优化提供数据支持；2. 定期对广告投放渠道数据分析，甄别流量质量，发现潜在问题，挖掘产品潜力，提出合理执行建议；\xa03. 开展专题式深度研究，分析数据模型、数据检验、产出分析报告，指导产品调优、运营策略制定；\xa04. 参与和媒体的API/SDK对接，监测后台搭建等。\xa0任职要求：\xa01. 本科以上学历，1年以上游戏或互联网数据分析经验；数理逻辑清晰，数据敏感度高；数学专业、统计学专业优先；\xa02. 熟悉游戏业务指标使用方法及场景，能够独立完成游戏业务分析；\xa03. 熟悉当下信息流投放渠道，包括但不限于今日头条，百度，广点通等；4. 熟悉SQL语句、EXCEL；掌握SPSS、R、SAS、tableau等其中一种分析工具；\xa05. 具有一定的数据挖掘、LTV模型、预测能力；\xa06. 良好的沟通能力、文档表达能力、部门协作能力；\xa07. 出色的学习能力，能够快速融入业务；\xa08. 有独立完成游戏产品数据分析工作者优先。,,,,,,,,,,,,,,,,,
289,数据分析师,https://www.lagou.com/jobs/6346964.html,普陀区,8k-14k,雅氪文化传播（上海）有限公司,1-3年,本科,双休，带薪休假，五险一金,职位诱惑：发展好待遇佳，团队氛围好职位描述：工作职责：1：协助广告运营部门搭建业务流程中的数据逻辑模型，并输出日报，周报，月报；2：负责运营及创意部门的在线报表维护，从数据角度分析业务运营情况，协助发现其中的问题；3：协助广告运营优化广告主报表输出模板，提高工作效率；4：在未实现系统分析自动化之前，能快速搭建满足短期需要的excel分析模板；5：能够基于数据分析结果，独立输出PPT分析报告；6：承担运营主管安排的其他数据分析工作；任职要求：1：本科及以上学历；面对数据认真仔细有耐心；2：学习能力强，能快速应对业务变化；3：1年以上的数据分析工作经验，较强的逻辑思维能力；4：能熟练运用Excel等数据分析类工具，善用透视表及数据查询；熟练使用PPT，有一定数据可视化能力；5：有统计学背景优先。6：对于互联网广告及短视频行业有热情或个人见解的优先。,,,,,,,,,,,,,,,,,,,,
290,游戏数据分析,https://www.lagou.com/jobs/4214851.html,徐汇区,20k-40k,上海米哈游网络科技股份有限公司,1-3年,本科,扁平化,知名项目,年底多薪,六险一金,岗位职责1.\xa0\xa0构建并完善游戏项目运营数据分析体系，优化数据维度提升数据平台的使用效率，为日常游戏业务相关的提供数据支持；2.\xa0\xa0针对游戏项目进行专项数据分析，包括并不限于用户价值、流失、游戏生态、活动版本效果等，综合评估并输出报告；3.\xa0\xa0通过数据挖掘和探索分析用户行为数据、游戏数值设计合理性等信息，根据分析结果，推动协调研发调整、运营方向、内容规划、资源投放等关键内容。；4.\xa0\xa0研究游戏的用户精细化运营，如用画像分析，用户生态等。岗位要求1.\xa0\xa03年以上工作经验，至少2年以上从事游戏数据分析工作，对数据分析感兴趣；2.\xa0\xa0拥有手游完整项目数据分析经验，能够独立开展研究项目；3.\xa0\xa0对数据敏感，熟悉数据收集、数据分析方法，了解数据建模基本原理和数据挖掘算法，了解服务器构架模式、数据库操作；4.\xa0\xa0具备良好的逻辑思维能力和分析能力，具有良好的团队协作能力。5.会使用python进行爬虫设计和分析可加分。,,,,,,,,,,,,,,,,,
291,数据分析师（空间数据分析）,https://www.lagou.com/jobs/6237000.html,杨浦区,10k-20k,上海脉策数据科技有限公司,不限,硕士,弹性工作,薪酬福利好,技术驱动,大牛互助,岗位描述：1.\xa0\xa0\xa0 根据要求从数据源提取相关的统计数据、空间数据等进行多种交叉分析、建模分析等；2.\xa0\xa0\xa0 对分析结果进行可视化呈现；3.\xa0\xa0\xa0 对数据分析结果进行解释和解读4.\xa0\xa0\xa0 完成数据分析报告；5.\xa0\xa0\xa0 配合开发团队进行模型的工程化\xa0岗位要求：1.\xa0\xa0\xa0 硕士及以上学历，地理信息系统、计算机、统计、等相关专业；2.\xa0\xa0\xa0 ArcGIS。熟练掌握ArcGIS中各类空间数据处理、空间计算及空间分析功能。3.\xa0\xa0\xa0 熟悉Python、R等至少一项数据分析工具。具备较强的逻辑分析能力、数据敏感性；有处理GB级别数据处理经验者优先。至少掌握常用的数据处理工具包，例如：pandas、numpy（Python），dplyr（R）等4.\xa0\xa0\xa0 熟悉PostgreSQL，有PostGIS、PgRouting等相关模块的使用经验者优先。5.\xa0\xa0\xa0 熟悉常用机器学习算法，具有一定的工程实现能力的优先。6.\xa0 \xa0了解地理信息和有地产相关行业经验的优先；,,,,,,,,,,,,,,,,,
292,大数据分析师,https://www.lagou.com/jobs/6341437.html,徐汇区,15k-25k,上海同道信息技术有限公司,3-5年,本科,福利好 办公室nice 年轻化企业,1、负责政务数据/商业数据的研究和分析。例如，通过业务系统数据的挖掘和分析，形成主题研究报告；2、快速了解业务，通过数据发现业务规律；3、能够独立借助数据分析工具进行数据分析，提供数据决策支持；4、设计并规划相关数据分析项目的可行性数据框架，同时确保该设计方案的最终实施；5、构建用户行为建模、业务数据分析模型、用户评估体系等，支持个性化项目；6、参与构建数据分析体系，参与平台的数据运营和数据产品研发等;7、了解客户相关需求，与多部门（业务部门和研发部等）密切沟通，负责相关数据的提取、查询、处理、分析等工作;任职资格：1、本科及以上学历，计算机、经济、统计、数学、软件工程、信息管理等相关专业优先；2、有较强的数据敏感度和逻辑分析能力，能梳理特定行业业务数据指标，构建业务数据分析体系优先；3、熟悉Hadoop/Spark大数据生态相关技术：Hadoop、Spark、SparkStreaming、Hbase、Hive等，有java、python、R开发经验；4、能独立设计撰写分析报告；5、会运用常规的统计学方法与分析算法（如分类、聚类、回归、关联规则、社会网络模型、抽样工具、定类分析、决策支持等）；6、有责任心、良好的沟通能力及心理承受能力，\xa0较高的团队合作能力和解决问题能力，可以快速处理临时的任务需求；7、二年以上大数据平台类项目的实战经验，热爱数据，对从海量数据中挖掘价值有浓厚兴趣；,,,,,,,,,,,,,,,,,,,,
293,数据分析实习生,https://www.lagou.com/jobs/6260015.html,静安区,5k-6k,上海黑湖网络科技有限公司,应届毕业生,本科,顶级vc,精英团队,前沿技术,硅谷文化,（一）工作内容1.\xa0 \xa0 收集、分析售后客户对数据分析的需求，将客户的业务问题转化数据提取的技术问题，引导客户对数据利用的战略、优先级和未来机会的认知，与客户合作形成数据看板的方案；2.\xa0 \xa0 基于客户具体使用场景，剖析客户现有数据来源和结构，对方案和指标的可行性进行评估和沟通；3.\xa0 \xa0 制作数据分析看板，客户现场或远程进行调试；4.\xa0 \xa0 客户回访，保持使用的满意度，对客户使用情况和健康度进行监控；5.\xa0 \xa0 提供数据分析产品的培训，制作用户手册等文档；6.\xa0 \xa0 管理客户新增需求，将新增的对数据来源或数据结构变更的需求，提供给产品/研发部门；7.\xa0 \xa0 维护客制化数据看板的稳定运行和数据通道更新；8.\xa0 \xa0 积累归纳客户对数据呈现、分析、定量指标几个方面的常见需求，总结用例，推动通用需求的产品化。（二）职位要求1.\xa0 \xa0 有在商业智能，数据/统计分析领域的工作经验优先；2.\xa0 \xa0 熟练使用SQL语言进行数据钻取；3.\xa0 \xa0 出众的书面和口头沟通能力，能够在不同场合，达成共识；4.\xa0 \xa0 持续学习者，能快速掌握不同行业/领域的分析基础并延展创新（领域包括：生产制造、物料管理、物流/供应链管理，质量管理，6西格玛管理，SPC管理，精益制造理论，丰田理论，TOC理论等等）；5.\xa0 \xa0 有工厂管理经验者优先。,,,,,,,,,,,,,,,,,
294,数据分析师,https://www.lagou.com/jobs/5768927.html,浦东新区,5k-10k,深圳市波思代尔贸易有限公司,不限,硕士,工作地点为线上,1.\xa0会使用SPSS、R、Stata、Python、Eviews一种或多种统计学分析软件；2.有数据分析和建模的相关经验；3.研究生以上学历；工作内容：处理文章中的一些数据分析,,,,,,,,,,,,,,,,,,,,
