Duration (ms), Start date, End date, Start station, End station, Bike number, Member type
3282380, 2017/1/4 13:24, 2017/1/4 14:19, Arlington Blvd & N Queen St, C & O Canal & Wisconsin Ave NW, W00556, Casual
1208620, 2017/1/4 13:24, 2017/1/4 13:44, 18th & C St NW, Lincoln Memorial, W21246, Casual
3274927, 2017/1/4 13:24, 2017/1/4 14:19, Arlington Blvd & N Queen St, C & O Canal & Wisconsin Ave NW, W22712, Casual
835959, 2017/1/4 13:24, 2017/1/4 13:38, New Hampshire Ave & 24th St NW, 14th & V St NW, W22525, Member
1864304, 2017/1/4 13:24, 2017/1/4 13:55, Potomac & Pennsylvania Ave SE, 16th & R St NW, W20634, Member
206789, 2017/1/4 13:24, 2017/1/4 13:28, 3rd St & Pennsylvania Ave SE, Eastern Market Metro / Pennsylvania Ave & 7th St SE, W22348, Member
1201733, 2017/1/4 13:25, 2017/1/4 13:45, 18th & C St NW, Lincoln Memorial, W21547, Casual
926444, 2017/1/4 13:25, 2017/1/4 13:40, 15th & P St NW, Lamont & Mt Pleasant NW, W20864, Member
212967, 2017/1/4 13:25, 2017/1/4 13:28, King St & Patrick St, King St Metro North / Cameron St, W22325, Member
730013, 2017/1/4 13:25, 2017/1/4 13:37, Adams Mill & Columbia Rd NW, Massachusetts Ave & Dupont Circle NW, W00923, Member
433196, 2017/1/4 13:25, 2017/1/4 13:32, 14th & Rhode Island Ave NW, 19th & L St NW, W21021, Member
610212, 2017/1/4 13:26, 2017/1/4 13:36, 11th & M St NW, 22nd & P ST NW, W01388, Member
423582, 2017/1/4 13:26, 2017/1/4 13:33, 13th & D St NE, 2nd & G St NE, W00481, Member
679474, 2017/1/4 13:26, 2017/1/4 13:37, 21st & I St NW, 10th & K St NW, W00529, Member
302590, 2017/1/4 13:26, 2017/1/4 13:31, Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir, Wisconsin Ave & Brandywine St NW, W00082, Member
2016721, 2017/1/4 13:27, 2017/1/4 14:00, 2nd & G St NE, Jefferson Dr & 14th St SW, W22679, Casual
