演员,类型,整理后剧名,上映时间,语言,评分,地区,导演,差评数,评分人数,播放量,好评数
宋妍/宋晓娜/林青/丹江,言情剧/剧情/都市,人生特别档案,2002,国语,5.4,内地,章明,25,54,307000,29
宋春丽/李诚儒/于小慧/张戈/卢思思/周毅,家庭剧/都市/粤语电视剧,穷妈妈富妈妈,2008,国语,6.1,内地,田原鸿,509,1309,2430000,800
宋春丽/许亚军,罪案剧/悬疑剧/粤语电视剧,别阻挡我的幸福,2006,国语,5.5,内地,陈晓雷,599,1324,1730000,725
宗峰岩/赵文u/杨梓铎/聂远/沈傲君/周显欣/修庆/白海龙/黑子/马浴柯/王瑛,历史剧/古装剧/剧情/粤语电视剧/超清1080P,大舜,2015,国语,7.6,内地,吴子牛,45473,193093,164000000,147620
寇世勋/刘雪华/汤志伟/吴大维/叶丽仪/林美贞,剧情/喜剧/家庭剧/言情剧/粤语电视剧/超清1080P,挚爱奇缘,1998,国语,5.5,内地,陈家俊,331,742,1030000,411
寇世勋/斓曦/刘冠军/马刚/宗晓军/刘波/毛林林/王驾麟,剧情/言情剧/谍战剧/粤语电视剧/超清1080P,9死1生,2014,国语,6,内地,王晓明,2172,5480,15730000,3308
寇世勋/明道/李曼/罗晋/于越/舒耀暄/朱晓渔,家庭剧/言情剧/年代剧/粤语电视剧/超清1080P,梦幻天堂,2008,国语,7.2,内地,李大为/刘国权,1564,5566,7960000,4002
寇世勋/高峰/张定涵/郑家榆/黄文豪/池华琼,家庭剧/言情剧/剧情/粤语电视剧,别在梦醒之前离开我,2005,国语,7.2,内地,郑健荣,81,293,383000,212
富大龙/陈昭荣/王珂/吴谨西/刘长纯/陈欣予/姚刚,军旅剧/言情剧/年代剧/谍战剧/粤语电视剧/超清1080P,破阵,2015,国语,7.8,内地,邵芳,5230,23768,92880000,18538
富大龙/隋俊波/刘婉婷/耿圣凯/李菁菁/张晨光,罪案剧/言情剧/悬疑剧/粤语电视剧/超清1080P,罪爱,2009,国语,5.8,内地,翟小兴,2206,5313,7590000,3107
富大龙/高洋/万梓良/英达/鲍国安/刘卫华,剧情/年代剧/谍战剧/粤语电视剧/超清1080P,密战峨眉,2012,国语,6.1,内地,李惠民,1016,2598,9300000,1582
尊龙/努尔比亚/翁虹/恬妞/谭非翎/阿依努尔·艾合买提,古装剧/剧情/粤语电视剧/超清1080P,乾隆与香妃,2005,国语,6.6,内地,李森/张轩南,309,896,1710000,587
小张铎/牛丽燕/刘小锋/张光北/张笑君/赵亮/林江国/马精武/李印/马驰/卢誉文,军旅剧/剧情/粤语电视剧/超清1080P,生死连,2015,国语,7.5,内地,李印,28458,113647,355000000,85189
尤勇/刘佩琦/陈瑾/高明/王奎/高发/万弘杰/王海燕/马少骅/杨立新,罪案剧/剧情/都市/粤语电视剧/超清1080P,大法官,1999,国语,6.3,内地,唐敬睿,348,936,1570000,588
尤勇/施京明/樊亦敏/张东升,罪案剧/剧情/都市/粤语电视剧,10天10夜,2004,国语,6.2,内地,张前,170,443,1760000,273
尤勇/杨圣文/曹力/洪宇宙/梁国庆/尹元章,剧情/都市/罪案剧,好汉的梦,2000,国语,6.8,内地,夏传林/查明哲,52,165,618000,113
尤勇/王姬/陈宝国/宋春丽/霍思燕,罪案剧/剧情/都市/粤语电视剧/超清1080P,罪证,1999,国语,5.7,内地,尹力,236,545,1200000,309
尤勇/赵子惠/刘国彤/孙熙/陈晓光/李保民/王伟安,农村剧/粤语电视剧,大地,2008,国语,5.8,内地,赵浚凯,1791,4314,10620000,2523
尤勇/龚蓓/修宗迪/郑爽(大),罪案剧/剧情/都市/粤语电视剧,欲望升级,2005,国语,5.9,内地,谢明晓,77,189,1100000,112
尹斗俊(Beast)/徐贤真/权律,喜剧/剧情/都市/粤语电视剧/超清1080P,1起用餐吧2,2015,韩语,8,韩国,朴俊华/崔奎植,5199,25851,18820000,20652
尹珍熙,青春剧/言情剧/偶像剧/都市/粤语电视剧/超清1080P,1年12个男人,2012,韩语,7.2,韩国,吴钟录,8239,29412,28300000,21173
尹铸胜/刘小锋/于洋/韩福利/张恒/赵燕国彰/张汇仓/朱墨/孙茜/冯恩鹤,军旅剧/剧情/谍战剧/粤语电视剧/超清1080P,尖刀,2010,国语,10,内地,谷锦云,1043,421468,69370000,420425
尼格木图/冯恩鹤/王伟/张晗/吴连生/张国生/陈星旭/赵梓存,军旅剧/历史剧/剧情/年代剧/粤语电视剧/超清1080P,闪闪的红星,2008,国语,6.7,内地,李辉,899,2693,5100000,1794
岳秀清/李帅/刘亚津/曹颖/刘伟,家庭剧/剧情/都市/粤语电视剧/超清1080P,家家有本难念的经,1996,国语,7,内地,陈燕民,34,113,251000,79
岳跃利/杨洁玫/张乐/王馨可,喜剧/家庭剧/都市/粤语电视剧,婚姻那些事儿,2010,国语,6.1,内地,陈伟祥,373,962,2770000,589
岳跃利/白珊/魏巍/李晟,言情剧/剧情/年代剧/粤语电视剧/超清1080P,人间烟火,2008,国语,6.2,内地,王硕,1010,2641,14480000,1631
崔林/刘佳/孙斌/徐景,罪案剧/悬疑剧/粤语电视剧,新便衣警察,2009,国语,9,内地,赵毅维,271,2661,3330000,2390
