演员, 类型, 整理后剧名, 上映时间, 语言, 评分, 地区, 导演, 差评数, 评分人数, 播放量, 好评数
仇晓光/潘晓莉/高发/马跃/陈慧, 剧情/都市, 走过斑马线, 2001.0, 国语, 6.3, 内地, 张少林, 84.0, 224.0, 668000.0, 140.0
代乐乐/佟悦/董博文/吴玉华/闫妮/刘敏/林永健/喻恩泰/范明/张笑语/莫忧/瞿冰妍/倪好/高楚冰/信鹏/尹泽源/王亮/吴明鸿, 喜剧/家庭剧/剧情/都市/粤语电视剧, 无敌3脚猫, 2009.0, 国语, 10.0, 内地, 尚敬, 77.0, 50578.0, 18520000.0, 50501.0
任天野/徐洪浩/王妍之/安雅萍/张进/李飞/赵荀/王天野/刘晓洁/姜艺声/王韬, 罪案剧/军旅剧/剧情/粤语电视剧/超清1080P, 特警力量, 2015.0, 国语, 8.0, 内地, 刘猛, 12532.0, 62065.0, 90980000.0, 49533.0
任天野/范志博/陈逸恒/李琦/刘一含/王奕/马丽/周征波/徐永革/张陆, 军旅剧/历史剧/年代剧/粤语电视剧/超清1080P, 射天狼, 2013.0, 国语, 6.9, 内地, 张前, 2837.0, 9022.0, 128000000.0, 6185.0
任志强/罗海琼/黄渤/吴连生/张国强/邢宇飞/罗京民, 剧情/悬疑剧/粤语电视剧/超清1080P, 末路天堂, 2007.0, 国语, 6.9, 内地, 康洪雷/李京, 556.0, 1815.0, 5560000.0, 1259.0
任泉/沈傲君/张天喜/张龄心/王莎莎/蒋宝英/赵帅/李万年/周德华/普超英, 言情剧/剧情/都市/粤语电视剧/超清1080P, 都叫我3妹, 2009.0, 国语, 5.9, 内地, 扈耀之, 1260.0, 3080.0, 4810000.0, 1820.0
任泽巍/刘芳毓/贾娅, 罪案剧/剧情/粤语电视剧/超清1080P, 致命筹码, 2013.0, 国语, 6.5, 内地, 郝一平, 209.0, 595.0, 1960000.0, 386.0
任程伟/张恒/句号/苏岩/姜鸿/张炬/王若子/嘉悦/毛坚/王一楠/高峰, 喜剧/剧情/都市/粤语电视剧/超清1080P, 曹老板的18个秘书, 2005.0, 国语, 6.4, 内地, 陈晓雷, 805.0, 2258.0, 5480000.0, 1453.0
任程伟/曹颖/何政军/闫淑琴/杜源/田成仁/吕中/曹力, 罪案剧/家庭剧/言情剧/剧情/粤语电视剧, 大雪无痕, 2000.0, 国语, 5.9, 内地, 雷献禾, 948.0, 2330.0, 4660000.0, 1382.0
任程伟/林永健/侯继林/郑铮, 剧情/农村剧/粤语电视剧, 城里城外, 2006.0, 国语, 7.1, 内地, 李小龙, 298.0, 1025.0, 3810000.0, 727.0
