,community_id,trade_time,days_on_market,total_price,unit_price,area_sqm,n_bed_room,n_living_room,n_kitchen,n_bathroom,building,building_type,construction_time,renovation_condition,building_structure,ladder_ratio,elevator,property_rights_for_five_years,subway,district,community_average
47209,1.11105E+12, 2016-12-26,20,2.92,34049,85.76,2,1,1,1, 高 6, 板楼,2009, 精装, 混合,0.333,0,1,0, 海淀,37277
1344,1.11103E+12, 2016-08-28,182,8.44,44894,188,4,2,1,2, 顶 5, 板楼,2001, 精装, 混合,0.5,0,1,0, 海淀,64123
66310,1.11103E+12, 2016-04-09,1,4.8,61920,77.52,2,1,1,1, 低 7, 板楼,2002, 简装, 钢混,0.25,0,1,1, 西城,73910
55756,1.11103E+12, 2016-03-31,1,2.52,47077,53.53,1,1,1,1, 中 6, 板楼,2006, 精装, 混合,0.333,0,1,0, 朝阳,60403
24127,1.11103E+12, 2016-08-09,7,3.035,41120,73.81,2,2,1,1, 中 6, 板楼,2007, 精装, 混合,0.25,0,1,0, 石景山,44043
30158,1.11103E+12, 2016-08-29,5,2.01,50138,40.09,1,0,1,1, 中 10, 板塔结合,2003, 精装, 钢混,0.095,1,0,0, 朝阳,56733
47193,1.11103E+12, 2016-12-19,13,2.44,43034,56.7,1,1,0,1, 中 13, 板塔结合,2011, 简装, 钢混,0.182,1,0,1, 朝阳,52870
33929,1.11103E+12, 2016-09-24,18,6.5,27694,234.71,2,1,1,2, 中 22, 塔楼,2000, 简装, 钢混,0.222,1,0,1, 朝阳,56151
50980,1.11103E+12, 2016-01-02,1,5.38,40801,131.86,2,2,1,2, 低 10, 板楼,2005, 简装, 钢混,0.25,1,1,1, 朝阳,78682
52345,1.11103E+12, 2016-03-06,1,3.72,59444,62.58,1,1,1,1, 中 21, 板塔结合,2008, 精装, 钢混,0.4,1,1,1, 朝阳,78232
61381,1.11103E+12, 2016-01-12,1,5.3,84127,63,2,1,1,1, 底 6, 板楼,2000, 精装, 混合,0.5,0,1,1, 海淀,97565
5745,1.11103E+12, 2016-06-26,62,11.4,87578,130.17,2,2,1,2, 高 18, 板塔结合,2004, 精装, 钢混,0.667,1,1,1, 东城,112184
25072,1.11103E+12, 2016-09-27,54,2.9,42729,67.87,1,1,1,1, 低 18, 塔楼,2005, 精装, 钢混,0.2,1,1,1, 朝阳,50697
45045,1.11103E+12, 2016-11-20,6,6.1,55179,110.55,2,2,1,2, 高 9, 板楼,2010, 精装, 钢混,0.5,1,0,1, 丰台,50684
54401,1.11103E+12, 2016-03-30,1,2.4,37460,64.07,1,1,1,1, 高 28, 塔楼,2009, 精装, 钢混,0.214,1,0,1, 朝阳,49691
6882,1.11103E+12, 2016-08-26,111,8.2,61831,132.62,2,2,1,2, 中 13, 板楼,2005, 简装, 钢混,0.5,1,1,0, 朝阳,81581
7040,1.11103E+12, 2016-11-19,193,4.12,57599,71.53,2,1,1,1, 低 21, 塔楼,2005, 精装, 钢混,0.25,1,0,0, 丰台,56964
63806,1.11103E+12, 2016-04-17,1,3.5,36734,95.28,2,2,1,1, 高 18, 板塔结合,2001, 精装, 钢混,0.5,1,0,0, 石景山,46335
51991,1.11103E+12, 2016-01-06,1,10,54213,184.46,3,2,1,2, 低 26, 板塔结合,2006, 精装, 钢混,1,1,1,0, 朝阳,91231
4993,1.11103E+12, 2016-07-20,94,4.98,42755,116.48,3,2,1,2, 低 21, 塔楼,2002, 精装, 钢混,0.25,1,1,1, 海淀,57958
59538,1.11103E+12, 2016-02-29,1,6.26,45577,137.35,3,2,1,2, 中 15, 板塔结合,2010, 简装, 钢混,0.667,1,1,1, 丰台,66193
56443,1.11103E+12, 2016-05-21,1,4.05,40955,98.89,2,2,1,1, 高 28, 板塔结合,2004, 其他, 钢混,0.4,1,1,1, 朝阳,54263
51788,1.11103E+12, 2016-02-21,1,4.35,44547,97.65,2,2,1,1, 中 28, 塔楼,2001, 精装, 钢混,0.25,1,1,1, 朝阳,55316
17253,1.11103E+12, 2016-07-08,5,9,69838,128.87,3,2,1,2, 中 9, 板塔结合,2012, 精装, 钢混,0.333,1,0,1, 海淀,68063
54720,1.11103E+12, 2016-05-14,1,6.4,59326,107.88,3,2,1,1, 底 22, 板塔结合,2005, 其他, 钢混,2,1,0,1, 朝阳,86612
22227,1.11103E+12, 2016-09-12,49,4.08,67150,60.76,1,1,1,1, 底 18, 塔楼,2007, 精装, 钢混,0.333,1,1,0, 朝阳,75566
791,1.11103E+12, 2016-10-30,294,4.68,60481,77.38,1,2,1,1, 中 23, 塔楼,2002, 精装, 钢混,0.286,1,0,1, 朝阳,77663
34572,1.11103E+12, 2016-09-12,3,2.675,56010,47.76,1,0,1,1, 低 22, 塔楼,2004, 精装, 钢混,0.214,1,0,1, 丰台,57890
14924,1.11103E+12, 2016-12-19,179,11.78,68918,170.93,4,2,1,2, 底 17, 板塔结合,2009, 精装, 钢混,0.5,1,1,1, 朝阳,70894
39379,1.11103E+12, 2016-10-02,1,6.25,70021,89.26,2,1,1,1, 高 14, 板塔结合,2008, 其他, 钢混,0.5,1,0,1, 朝阳,74841
38260,1.11104E+12, 2016-10-19,24,9.7,74541,130.13,3,2,1,2, 低 27, 板塔结合,2012, 精装, 钢混,0.667,1,0,0, 朝阳,75110
44664,1.11103E+12, 2016-12-19,39,4.3,59781,71.93,1,1,1,1, 高 9, 板塔结合,2006, 精装, 钢混,0.118,1,0,1, 朝阳,58955
14754,1.11103E+12, 2016-08-31,70,5.43,51237,105.98,2,1,1,1, 中 24, 板塔结合,2007, 精装, 钢混,0.4,1,0,0, 石景山,64222
59134,1.11103E+12, 2016-01-03,1,3.68,36040,102.11,2,2,1,1, 中 30, 塔楼,2004, 精装, 钢混,0.3,1,1,1, 丰台,56528
38850,1.11103E+12, 2016-10-21,23,8.18,58871,138.95,2,2,1,2, 高 32, 塔楼,2008, 精装, 钢混,0.444,1,0,1, 朝阳,62595
33646,1.11103E+12, 2016-10-05,30,8.8,51462,171,3,2,1,2, 中 19, 塔楼,2009, 精装, 钢混,1,1,0,0, 朝阳,51255
44293,1.11103E+12, 2016-12-11,35,2.82,81292,34.69,2,1,1,1, 中 18, 板塔结合,2008, 毛坯, 钢混,0.125,1,1,1, 海淀,71598
2459,1.11103E+12, 2016-06-29,103,2.15,43629,49.28,1,0,1,1, 中 26, 塔楼,2005, 精装, 钢混,0.217,1,0,1, 朝阳,56021
60061,1.11103E+12, 2016-02-28,1,3.25,44729,72.66,1,2,1,1, 高 30, 塔楼,2001, 精装, 钢混,0.214,1,1,1, 丰台,57372
26660,1.11103E+12, 2016-08-22,11,5.4,51331,105.2,2,1,1,1, 低 6, 板楼,2004, 简装, 钢混,0.5,0,1,0, 海淀,60502
6435,1.11103E+12, 2016-08-25,114,2.5,41996,59.53,1,0,1,1, 高 19, 板塔结合,2007, 精装, 钢混,0.211,1,1,1, 朝阳,61727
7842,1.11103E+12, 2016-10-15,152,11.2,66982,167.21,3,2,1,2, 中 18, 板楼,2007, 精装, 钢混,1,1,0,1, 朝阳,85047
43119,1.11103E+12, 2016-12-02,37,5.6,50496,110.9,2,1,1,1, 高 25, 塔楼,2003, 精装, 钢混,0.375,1,1,1, 朝阳,52306
59881,1.11103E+12, 2016-03-01,1,1.7,34922,48.68,1,1,1,1, 中 18, 板楼,2004, 其他, 钢混,0.5,1,0,0, 丰台,64266
56131,1.11103E+12, 2016-04-14,1,4.08,56183,72.62,2,1,1,1, 中 20, 塔楼,2006, 精装, 钢混,0.167,1,1,1, 朝阳,73994
19782,1.11103E+12, 2016-08-04,21,3.68,51183,71.9,1,1,1,1, 中 16, 塔楼,2007, 其他, 钢混,0.2,1,0,1, 西城,79816
42497,1.11103E+12, 2016-12-29,69,5.55,56095,98.94,2,1,1,1, 低 20, 塔楼,2001, 精装, 钢混,0.2,1,1,1, 朝阳,53994
62968,1.11103E+12, 2016-05-14,1,5.38,49852,107.92,2,1,1,1, 顶 5, 板楼,2004, 精装, 混合,0.5,0,1,0, 海淀,67509
37995,1.11103E+12, 2016-10-31,38,7.05,51961,135.68,3,2,1,1, 中 28, 板塔结合,2009, 精装, 钢混,0.667,1,0,1, 朝阳,54106
31792,1.11105E+12, 2016-09-14,15,2.63,35832,73.4,2,1,1,1, 中 28, 板楼,2015, 精装, 钢混,0.25,0,0,0, 丰台,44275
4262,1.11103E+12, 2016-08-11,125,7,59595,117.46,4,2,2,2, 底 4, 板塔结合,2002, 精装, 钢混,0.5,0,1,1, 东城,82323
4681,1.11103E+12, 2016-07-23,100,5.7,36934,154.33,3,2,1,2, 低 19, 塔楼,2004, 毛坯, 钢混,0.5,1,1,1, 朝阳,55339
3704,1.11103E+12, 2016-06-26,85,11.3,58077,194.57,3,2,1,2, 高 27, 塔楼,2005, 精装, 钢混,0.75,1,1,1, 朝阳,72589
38309,1.11103E+12, 2016-12-10,76,4,42800,93.46,2,1,1,1, 低 11, 板塔结合,2008, 精装, 钢混,0.25,1,1,1, 朝阳,44796
59733,1.11103E+12, 2016-03-26,1,2.54,42783,59.37,2,1,1,1, 中 10, 板塔结合,2005, 精装, 钢混,0.333,1,0,1, 丰台,56539
46363,1.11103E+12, 2016-12-04,6,5.6,65883,85,2,1,1,1, 中 13, 板楼,2000, 简装, 钢混,1,1,1,1, 朝阳,66408
26408,1.11103E+12, 2016-08-15,5,2.68,44000,60.91,1,2,1,1, 高 14, 板楼,2005, 简装, 钢混,0.5,1,1,1, 朝阳,55507
55017,1.11103E+12, 2016-03-13,1,4.15,27883,148.84,3,2,1,2, 中 4, 板楼,2003, 简装, 砖混,0.5,0,1,0, 朝阳,44274
41100,1.11103E+12, 2016-11-07,27,3.18,50775,62.63,1,1,1,1, 低 24, 塔楼,2003, 精装, 钢混,0.25,1,1,0, 石景山,49581
48187,1.11103E+12, 2016-12-30,7,6.75,90061,74.95,2,1,1,1, 中 16, 板塔结合,2003, 简装, 钢混,1.5,1,1,1, 东城,92522
62635,1.11103E+12, 2016-03-28,1,3.822,55861,68.42,1,1,1,1, 高 16, 塔楼,2001, 简装, 钢混,0.273,1,1,1, 海淀,77837
40589,1.11103E+12, 2016-12-20,73,7.96,61706,129,2,1,1,2, 中 11, 塔楼,2005, 简装, 钢混,0.2,1,1,1, 朝阳,57991
41028,1.11103E+12, 2016-10-16,5,8.2,54740,149.8,3,1,1,2, 中 18, 板楼,2005, 精装, 钢混,1,1,0,1, 朝阳,59536
30510,1.11103E+12, 2016-08-29,4,6.9,53995,127.79,3,2,1,2, 底 10, 板楼,2004, 精装, 钢混,0.5,1,1,1, 朝阳,55339
39394,1.11103E+12, 2016-11-27,57,10.23,88190,116,4,2,1,2, 中 6, 板楼,2009, 简装, 钢混,0.25,1,1,0, 海淀,92027
43666,1.11103E+12, 2016-12-25,54,3.82,54355,70.28,1,1,1,1, 中 28, 板塔结合,2009, 精装, 钢混,0.333,1,0,0, 朝阳,54263
11701,1.11103E+12, 2016-07-09,30,3.98,48555,81.97,2,1,1,1, 中 9, 板楼,2008, 精装, 钢混,0.333,1,1,0, 海淀,65533
30606,1.11103E+12, 2016-10-21,56,9.17,83364,110,2,1,1,1, 中 26, 塔楼,2001, 精装, 钢混,0.4,1,0,1, 朝阳,77070
60137,1.11103E+12, 2016-03-03,1,2.53,29471,85.85,1,1,1,1, 中 27, 塔楼,2010, 精装, 钢混,0.222,1,1,0, 丰台,43332
63604,1.11103E+12, 2016-03-09,1,4.65,48428,96.02,2,2,1,1, 低 26, 板塔结合,2007, 精装, 钢混,0.5,1,1,0, 石景山,64222
24425,1.11103E+12, 2016-12-20,139,3.9,54814,71.15,1,1,1,1, 中 28, 塔楼,2003, 精装, 钢混,0.25,1,1,1, 朝阳,57718
56079,1.11103E+12, 2016-05-21,1,4.95,39645,124.86,3,2,1,2, 低 27, 板塔结合,2006, 精装, 钢混,0.5,1,0,0, 朝阳,58092
55269,1.11103E+12, 2016-04-10,1,2.95,56633,52.09,1,0,1,1, 低 15, 板楼,2004, 精装, 钢混,0.25,1,0,1, 朝阳,83240
12368,1.11103E+12, 2016-11-29,170,11.78,65445,180,3,2,1,2, 低 17, 板塔结合,2003, 精装, 钢混,0.5,1,0,1, 朝阳,83273
63530,1.11103E+12, 2016-03-24,1,1.89,30425,62.12,2,1,1,1, 顶 6, 板楼,2000, 简装, 混合,0.5,0,1,0, 石景山,42744
20161,1.11103E+12, 2016-08-30,45,4.7,32944,142.67,3,2,1,2, 中 22, 塔楼,2003, 简装, 钢混,0.375,1,1,0, 朝阳,51827
56863,1.11103E+12, 2016-06-06,1,6.06,52116,116.28,2,2,1,1, 中 20, 板塔结合,2005, 精装, 钢混,0.286,1,1,1, 朝阳,65820
1594,1.11103E+12, 2016-08-22,170,7.18,65963,108.85,2,2,1,1, 低 20, 板塔结合,2008, 简装, 钢混,0.333,1,1,0, 丰台,81880
39969,1.11103E+12, 2016-10-06,1,3.65,55871,65.33,1,1,1,1, 低 11, 板楼,2002, 其他, 钢混,0.333,1,0,1, 朝阳,73688
42769,1.11103E+12, 2016-10-30,7,8.96,126127,71.04,2,1,1,1, 高 10, 板楼,2003, 精装, 钢混,0.25,1,0,1, 东城,117682
62717,1.11103E+12, 2016-06-05,1,3.5,40557,86.3,2,1,1,1, 高 18, 塔楼,2000, 简装, 钢混,0.25,1,1,1, 海淀,60019
59570,1.11103E+12, 2016-01-01,1,1.88,40526,46.39,1,1,1,1, 高 32, 塔楼,2005, 精装, 钢混,0.158,1,1,1, 丰台,61390
17669,1.11103E+12, 2016-07-30,25,13.88,92589,149.91,3,2,1,2, 低 19, 塔楼,2003, 精装, 钢混,0.222,1,1,1, 海淀,107405
65747,1.11103E+12, 2016-03-08,1,5.65,81179,69.6,2,1,1,1, 高 16, 板塔结合,2003, 其他, 钢混,0.333,1,1,1, 西城,91507
651,1.11103E+12, 2016-08-28,250,8.29,97737,84.82,3,1,1,1, 中 22, 塔楼,2003, 精装, 钢混,0.25,1,0,0, 西城,107453
44482,1.11105E+12, 2016-11-28,19,2.8,46443,60.29,1,1,1,1, 高 34, 板塔结合,2013, 简装, 钢混,0.25,0,0,0, 丰台,44275
46376,1.11103E+12, 2016-12-14,16,5.58,59840,93.25,2,1,1,1, 中 24, 板塔结合,2006, 精装, 钢混,0.286,1,0,0, 朝阳,62851
62249,1.11103E+12, 2016-03-21,1,6,58134,103.21,2,2,1,1, 低 9, 板楼,2008, 精装, 钢混,0.333,1,1,0, 海淀,73109
23720,1.11103E+12, 2016-09-11,42,3.97,43790,90.66,3,1,1,1, 中 24, 塔楼,2000, 精装, 钢混,0.25,1,1,1, 朝阳,43307
52488,1.11103E+12, 2016-04-16,1,4.1,43378,94.52,2,2,1,1, 中 27, 板塔结合,2007, 精装, 钢混,0.5,1,1,0, 朝阳,62598
53383,1.11103E+12, 2016-06-12,1,3.15,33705,93.46,2,1,1,1, 底 6, 板楼,2004, 精装, 钢混,0.333,0,1,1, 朝阳,45307
53201,1.11103E+12, 2016-03-16,1,11.8,65201,180.98,3,2,1,2, 低 33, 板塔结合,2004, 精装, 钢混,0.667,1,1,1, 朝阳,106925
44805,1.11103E+12, 2016-12-19,37,2.8,42425,66,1,0,1,1, 中 21, 塔楼,2012, 其他, 钢混,0.154,1,0,1, 西城,45254
59438,1.11103E+12, 2016-01-04,1,3.04,34074,89.22,2,1,1,1, 中 22, 塔楼,2002, 精装, 钢混,0.25,1,1,0, 丰台,51741
18970,1.11103E+12, 2016-07-27,17,4.9,50412,97.2,2,2,1,1, 高 22, 塔楼,2001, 精装, 钢混,0.5,1,0,1, 朝阳,59021
41393,1.11103E+12, 2016-12-07,55,3.3,50498,65.35,2,1,1,2, 高 9, 板塔结合,2012, 简装, 钢混,0.154,1,0,1, 丰台,70205
7753,1.11103E+12, 2016-08-20,96,3.54,55149,64.19,1,0,1,1, 中 27, 塔楼,2007, 精装, 钢混,0.273,1,1,1, 朝阳,65499
20680,1.11103E+12, 2016-08-07,21,14,85159,164.4,4,2,1,2, 高 19, 塔楼,2002, 精装, 钢混,0.25,1,0,1, 海淀,107405
60963,1.11103E+12, 2016-06-02,1,2.55,36119,70.6,1,0,1,1, 中 24, 塔楼,2004, 其他, 钢混,0.214,1,0,0, 丰台,46572
21772,1.11103E+12, 2016-07-26,3,5.58,60587,92.1,3,1,1,1, 中 9, 板楼,2011, 其他, 钢混,0.5,1,0,1, 丰台,70205
59950,1.11103E+12, 2016-03-19,1,2,43113,46.39,1,1,1,1, 顶 30, 塔楼,2005, 其他, 钢混,0.143,1,1,1, 丰台,61390
13131,1.11103E+12, 2016-06-26,10,2.6,28889,90,2,2,1,1, 中 21, 板塔结合,2007, 简装, 钢混,0.5,1,0,0, 朝阳,34875
51707,1.11103E+12, 2016-03-07,1,4.59,48124,95.38,2,1,1,1, 顶 32, 塔楼,2004, 精装, 钢混,0.3,1,1,1, 朝阳,62837
62135,1.11103E+12, 2016-02-27,1,3.18,44476,71.5,2,1,1,1, 底 6, 板楼,2000, 精装, 混合,0.333,0,0,0, 海淀,64452
28685,1.11103E+12, 2016-09-26,39,6.65,65927,100.87,2,1,1,1, 中 16, 板塔结合,2003, 简装, 钢混,0.25,1,1,1, 朝阳,68178
13841,1.11103E+12, 2016-06-20,2,1.4,41729,33.55,1,1,0,1, 中 24, 塔楼,2002, 其他, 钢混,0.231,1,0,0, 丰台,58524
23109,1.11103E+12, 2016-09-03,37,4.9,58016,84.46,2,1,1,1, 低 32, 塔楼,2008, 精装, 钢混,0.333,1,1,1, 朝阳,62595
15410,1.11103E+12, 2016-06-30,5,1.055,31140,33.88,1,0,1,1, 中 21, 塔楼,2009, 其他, 钢混,0.138,1,0,1, 丰台,38915
52196,1.11103E+12, 2016-01-16,1,5.759,50000,115.17,2,2,1,2, 中 26, 塔楼,2004, 精装, 钢混,0.375,1,1,1, 朝阳,78799
25033,1.11103E+12, 2016-09-19,46,4.8,66482,72.2,2,1,1,1, 中 6, 板楼,2000, 精装, 混合,0.333,0,1,0, 海淀,65567
59177,1.11106E+12, 2016-05-11,1,9.75,49345,197.59,4,2,1,3, 中 30, 板塔结合,2011, 简装, 钢混,1,1,0,0, 丰台,61865
63046,1.11103E+12, 2016-05-29,1,6,41320,145.21,5,4,1,3, 底 8, 板楼,2009, 其他, 钢混,0.5,1,0,0, 海淀,63444
3924,1.11103E+12, 2016-06-21,77,6,38758,154.81,3,2,1,2, 中 18, 板塔结合,2004, 简装, 钢混,0.5,1,1,0, 朝阳,52306
62921,1.11103E+12, 2016-05-23,1,3.15,53801,58.55,1,1,1,1, 中 20, 塔楼,2005, 精装, 钢混,0.444,1,1,1, 海淀,74104
65930,1.11103E+12, 2016-05-21,1,3.07,67503,45.48,1,1,1,1, 底 24, 板塔结合,2004, 精装, 钢混,0.231,1,0,0, 西城,81221
59967,1.11103E+12, 2016-03-05,1,2.985,38517,77.5,2,1,1,1, 中 11, 板楼,2012, 精装, 钢混,0.25,1,0,1, 朝阳,63867
33588,1.11103E+12, 2016-09-14,9,5.3,56002,94.64,3,1,1,1, 底 18, 板楼,2007, 精装, 钢混,0.4,1,0,1, 海淀,71309
46663,1.11103E+12, 2016-12-20,19,3.2,54955,58.23,1,1,1,1, 高 21, 塔楼,2009, 精装, 钢混,0.158,1,1,0, 海淀,77025
4099,1.11103E+12, 2016-08-17,132,8.96,72988,122.76,2,2,1,2, 中 20, 板塔结合,2003, 精装, 钢混,0.3,1,1,1, 东城,94155
57757,1.11103E+12, 2016-04-22,1,11.8,85906,137.36,3,2,1,2, 中 15, 板塔结合,2008, 精装, 钢混,0.667,1,1,1, 东城,95392
16553,1.11103E+12, 2016-09-26,87,2.346,43445,54,1,1,1,1, 底 10, 塔楼,2012, 其他, 钢混,0.222,1,0,0, 海淀,56762
59225,1.11103E+12, 2016-03-09,1,1.7,37520,45.31,1,0,1,1, 低 18, 板楼,2004, 精装, 钢混,0.5,1,1,0, 丰台,64266
61092,1.11103E+12, 2016-02-28,1,2.17,49840,43.54,1,0,1,1, 中 12, 塔楼,2004, 其他, 钢混,0.118,1,0,0, 海淀,75509
9473,1.11103E+12, 2016-08-19,83,1.842,34112,54,1,0,1,1, 低 21, 塔楼,2010, 精装, 钢混,0.138,1,1,1, 丰台,38915
2042,1.11105E+12, 2016-08-15,156,2.39,39834,60,1,1,1,1, 中 24, 塔楼,2013, 精装, 钢混,0.25,1,0,1, 丰台,57232
18601,1.11103E+12, 2016-08-31,54,3.5,55556,63,1,0,1,1, 高 21, 板楼,2008, 精装, 钢混,0.059,0,1,1, 朝阳,86411
39464,1.11103E+12, 2016-12-17,76,6.72,64141,104.77,2,2,1,1, 低 23, 板楼,2005, 精装, 钢混,0.333,1,1,0, 海淀,62924
43731,1.11103E+12, 2016-11-21,19,4.72,47779,98.79,2,1,1,1, 中 13, 板楼,2007, 简装, 钢混,0.5,1,1,1, 朝阳,46072
10567,1.11103E+12, 2016-06-18,14,2.65,42571,62.25,1,1,1,1, 低 18, 板楼,2003, 简装, 钢混,2,1,0,1, 丰台,58737
52756,1.11103E+12, 2016-03-06,1,2.9,32370,89.59,2,1,1,1, 高 17, 板塔结合,2004, 其他, 钢混,0.5,1,1,0, 朝阳,53017
31730,1.11103E+12, 2016-09-05,7,1.191,33740,35.3,1,0,1,1, 高 21, 塔楼,2009, 其他, 钢混,0.154,1,0,1, 丰台,38915
28615,1.11103E+12, 2016-09-28,41,3.6,55875,64.43,1,1,1,1, 中 15, 板楼,2004, 精装, 钢混,0.333,1,0,0, 朝阳,52306
59588,1.11103E+12, 2016-03-04,1,3.1,33674,92.06,2,2,1,1, 低 21, 塔楼,2003, 精装, 钢混,0.25,1,1,1, 丰台,50953
9339,1.11103E+12, 2016-06-28,32,6.2,64584,96,1,1,1,2, 中 18, 板塔结合,2007, 精装, 钢混,0.3,1,1,1, 朝阳,89993
27377,1.11103E+12, 2016-09-10,28,8.6,96165,89.43,2,2,1,1, 中 18, 板塔结合,2004, 简装, 钢混,0.4,1,1,1, 西城,103264
11144,1.11104E+12, 2016-08-29,83,4.08,54126,75.38,2,1,1,1, 高 20, 塔楼,2010, 精装, 钢混,0.2,1,0,1, 海淀,63404
11410,1.11103E+12, 2016-07-24,46,2.75,55000,50,1,0,1,1, 高 18, 塔楼,2004, 精装, 钢混,0.167,1,1,1, 海淀,73475
23389,1.11103E+12, 2016-08-13,15,2.22,39530,56.16,1,0,1,1, 低 23, 板塔结合,2007, 简装, 钢混,0.333,1,1,1, 丰台,49710
34705,1.11103E+12, 2016-09-19,9,5.45,43920,124.09,3,1,1,2, 低 6, 板楼,2003, 精装, 混合,0.5,0,0,1, 朝阳,46072
7382,1.11103E+12, 2016-06-26,44,5.139,49523,103.77,3,2,1,2, 低 30, 塔楼,2001, 简装, 钢混,0.25,1,1,0, 丰台,60456
1724,1.11103E+12, 2016-08-25,171,3.5,49185,71.16,3,1,1,1, 低 6, 板楼,2000, 精装, 钢混,0.5,0,1,0, 朝阳,55778
52916,1.11103E+12, 2016-01-18,1,7.95,52313,151.97,3,1,1,2, 低 18, 板楼,2004, 精装, 钢混,1,1,1,1, 朝阳,77726
9134,1.11103E+12, 2016-07-09,44,4.55,73388,62,1,1,1,1, 高 22, 板塔结合,2010, 精装, 钢混,0.333,1,0,1, 东城,97522
33340,1.11103E+12, 2016-09-11,7,5.3,50472,105.01,2,1,1,1, 高 24, 塔楼,2005, 其他, 钢混,0.2,1,0,1, 丰台,54384
29716,1.11103E+12, 2016-09-07,16,7.65,85048,89.95,2,2,1,1, 中 12, 板塔结合,2005, 精装, 钢混,0.25,1,1,1, 朝阳,90609
34249,1.11103E+12, 2016-09-28,20,9.78,74657,131,3,1,1,2, 中 30, 塔楼,2002, 精装, 钢混,0.375,1,0,0, 朝阳,68908
32711,1.11103E+12, 2016-11-14,73,6.95,45616,152.36,4,2,1,2, 低 15, 板塔结合,2003, 简装, 钢混,0.5,1,1,1, 丰台,50347
6060,1.11103E+12, 2016-06-25,56,4.07,50124,81.2,2,1,1,1, 中 21, 板塔结合,2006, 精装, 钢混,0.25,1,1,1, 朝阳,59213
35417,1.11103E+12, 2016-09-20,8,8,36530,219,4,1,1,3, 中 7, 板楼,2001, 简装, 钢混,0.143,1,1,1, 海淀,71385
15972,1.11103E+12, 2016-08-19,52,1.06,30029,35.3,1,0,0,1, 中 21, 塔楼,2009, 精装, 钢混,0.154,1,0,1, 丰台,38915
5421,1.11103E+12, 2016-09-15,146,5.68,74463,76.28,1,2,1,1, 中 9, 板楼,2003, 精装, 钢混,0.25,1,1,1, 海淀,74522
4780,1.11103E+12, 2016-07-31,107,5.78,57674,100.22,2,1,1,1, 高 24, 塔楼,2002, 精装, 钢混,0.3,1,0,1, 朝阳,62470
51824,1.11103E+12, 2016-01-24,1,2.7,32151,83.98,2,1,1,1, 高 28, 塔楼,2000, 简装, 钢混,0.143,1,1,0, 朝阳,51085
20072,1.11104E+12, 2016-08-25,41,3.25,36517,89,2,1,1,1, 高 29, 塔楼,2013, 精装, 钢混,0.167,1,1,1, 朝阳,44892
16268,1.11103E+12, 2016-07-02,3,4.6,51616,89.12,2,2,1,1, 高 18, 板塔结合,2009, 精装, 钢混,0.5,1,0,0, 西城,53521
66053,1.11103E+12, 2016-03-19,1,5.7,52127,109.35,2,2,1,1, 高 25, 板塔结合,2003, 简装, 钢混,0.333,1,1,1, 西城,76922
53323,1.11103E+12, 2016-02-20,1,4.3,53496,80.38,2,1,1,1, 高 27, 板楼,2006, 其他, 钢混,0.4,1,1,1, 朝阳,69760
4129,1.11103E+12, 2016-06-27,81,3,28978,103.53,2,2,1,1, 中 12, 板塔结合,2005, 简装, 钢混,0.25,1,1,1, 朝阳,50512
52022,1.11103E+12, 2016-01-10,1,4.55,50987,89.24,1,1,1,1, 高 30, 板塔结合,2008, 简装, 钢混,0.667,1,0,1, 朝阳,79346
27422,1.11103E+12, 2016-08-31,18,5.93,53656,110.52,3,1,1,2, 中 21, 塔楼,2002, 精装, 钢混,0.25,1,0,1, 海淀,57958
7768,1.11103E+12, 2016-06-15,31,3.37,44174,76.29,2,2,1,1, 低 11, 板楼,2007, 精装, 钢混,0.2,1,1,1, 朝阳,59730
37571,1.11103E+12, 2016-11-21,59,7.2,57275,125.71,3,1,1,1, 低 18, 塔楼,2005, 简装, 钢混,0.667,1,0,0, 丰台,46572
7957,1.11103E+12, 2016-06-30,44,4.45,32769,135.8,2,2,1,2, 低 33, 塔楼,2003, 简装, 钢混,0.375,1,1,1, 朝阳,50982
43245,1.11103E+12, 2016-11-24,27,6.396,65047,98.33,2,1,1,1, 中 16, 板塔结合,2007, 精装, 钢混,0.5,1,0,1, 丰台,60067
61957,1.11103E+12, 2016-02-19,1,5.08,50040,101.52,2,1,1,1, 中 21, 塔楼,2009, 精装, 钢混,0.2,1,1,0, 海淀,77025
41537,1.11103E+12, 2016-10-25,11,9.8,48971,200.12,4,2,1,3, 中 5, 板楼,2009, 精装, 钢混,1,1,0,1, 朝阳,51255
7279,1.11103E+12, 2016-06-21,40,4.35,40252,108.07,2,1,1,1, 低 26, 塔楼,2005, 其他, 钢混,0.333,1,1,0, 朝阳,52306
14414,1.11103E+12, 2016-07-18,28,7.05,66341,106.27,2,2,1,2, 高 16, 板楼,2005, 精装, 钢混,0.5,1,0,1, 海淀,74104
59366,1.11103E+12, 2016-01-24,1,1.66,35784,46.39,1,1,1,1, 低 32, 塔楼,2005, 精装, 钢混,0.158,1,0,1, 丰台,61390
28722,1.11103E+12, 2016-08-31,12,6.25,59152,105.66,2,1,1,2, 中 30, 塔楼,2002, 精装, 钢混,0.3,1,1,1, 朝阳,77310
31372,1.11103E+12, 2016-08-31,3,4.78,52795,90.54,2,2,1,1, 高 30, 塔楼,2003, 精装, 钢混,0.25,1,1,1, 丰台,56527
