,community_id,trade_time,days_on_market,total_price,unit_price,area_sqm,n_bed_room,n_living_room,n_kitchen,n_bathroom,building,building_type,construction_time,renovation_condition,building_structure,ladder_ratio,elevator,property_rights_for_five_years,subway,district,community_average
3615,1.11103E+12, 2016-06-22,82,2.72,64762,42,1,0,1,1, 中 24, 板塔结合,2004, 简装, 钢混,0.231,1,1,0, 西城,81221
43957,1.11103E+12, 2016-12-06,33,1.34,39412,34,1,1,1,1, 中 8, 塔楼,2006, 精装, 钢混,0.035,1,0,1, 丰台,70638
20843,1.11103E+12, 2016-08-26,39,7.23,72300,100,1,0,1,1, 低 24, 塔楼,2006, 精装, 钢混,0.5,1,0,0, 东城,107168
39497,1.11103E+12, 2016-10-19,17,5.5,65477,84,2,2,1,1, 中 6, 板楼,2008, 简装, 钢混,0.333,0,0,0, 海淀,67922
11525,1.11104E+12, 2016-07-11,32,2.48,63089,39.31,1,0,1,1, 低 22, 板塔结合,2012, 精装, 钢混,0.333,1,0,1, 朝阳,80072
56149,1.11103E+12, 2016-04-27,1,4.6,45076,102.05,2,1,1,1, 低 22, 塔楼,2006, 精装, 钢混,0.4,1,1,0, 朝阳,57709
16962,1.11104E+12, 2016-08-04,33,2.87,32662,87.87,2,1,1,1, 中 18, 塔楼,2010, 简装, 钢混,0.333,1,1,1, 朝阳,44892
1229,1.11103E+12, 2016-09-25,214,5.2,85738,60.65,1,1,1,1, 中 17, 塔楼,2007, 精装, 钢混,0.167,1,0,1, 海淀,94597
55160,1.11103E+12, 2016-03-31,1,3.16,41700,75.78,2,1,1,1, 中 10, 板楼,2004, 其他, 钢混,0.333,1,0,0, 朝阳,53017
41848,1.11103E+12, 2016-11-30,46,5.06,74643,67.79,1,1,1,1, 低 16, 板塔结合,2004, 精装, 钢混,0.231,1,1,1, 东城,71761
7773,1.11105E+12, 2016-06-17,32,2.18,37933,57.47,1,1,1,1, 高 24, 塔楼,2013, 精装, 钢混,0.25,1,0,1, 丰台,57232
44822,1.11103E+12, 2016-12-23,41,4.46,53096,84,1,1,1,1, 中 22, 塔楼,2001, 简装, 钢混,0.25,1,1,0, 朝阳,59812
65473,1.11103E+12, 2016-01-17,1,7.2,114087,63.11,1,1,1,1, 中 18, 板塔结合,2003, 精装, 钢混,0.286,1,1,1, 西城,152118
13130,1.11103E+12, 2016-08-10,55,7.3,55552,131.41,3,2,1,2, 低 25, 塔楼,2000, 简装, 钢混,0.375,1,0,1, 朝阳,67308
52739,1.11103E+12, 2016-04-02,1,2.95,43275,68.17,1,1,1,1, 中 18, 塔楼,2007, 精装, 钢混,0.286,1,1,1, 朝阳,68153
25590,1.11103E+12, 2016-09-10,35,12.3,58195,211.36,3,2,1,2, 中 16, 塔楼,2001, 精装, 钢混,0.3,1,0,1, 海淀,77837
63064,1.11103E+12, 2016-06-12,1,4.45,51068,87.14,3,1,1,1, 中 11, 板楼,2001, 精装, 钢混,0.5,1,1,0, 海淀,64124
52171,1.11103E+12, 2016-02-26,1,2.755,30392,90.65,2,1,1,1, 顶 6, 板楼,2004, 精装, 混合,0.5,0,1,0, 朝阳,44510
8246,1.11103E+12, 2016-10-24,158,7.8,51479,151.52,4,1,1,2, 顶 6, 板楼,2000, 简装, 混合,0.5,0,0,1, 西城,75337
19447,1.11103E+12, 2016-08-18,36,2.4,28647,83.78,2,1,1,1, 高 20, 板塔结合,2007, 精装, 钢混,0.4,1,0,1, 朝阳,34875
60860,1.11103E+12, 2016-05-31,1,2.28,53396,42.7,1,0,1,1, 中 16, 板塔结合,2010, 简装, 钢混,0.5,1,1,1, 丰台,66712
53810,1.11103E+12, 2016-02-29,1,1.6,38835,41.2,1,0,1,1, 底 14, 板塔结合,2004, 精装, 钢混,0.095,1,1,1, 朝阳,63737
7996,1.11103E+12, 2016-06-23,36,3.4,38973,87.24,2,1,1,1, 低 6, 板楼,2006, 精装, 混合,0.5,0,0,1, 朝阳,52723
29415,1.11103E+12, 2016-08-31,10,5.4,58505,92.3,2,1,1,2, 高 11, 板楼,2007, 精装, 钢混,0.5,1,1,1, 朝阳,62702
55860,1.11103E+12, 2016-05-17,1,1.67,33745,49.49,1,0,1,1, 中 21, 板塔结合,2006, 精装, 钢混,0.125,1,1,1, 朝阳,55275
40210,1.11103E+12, 2016-10-08,2,2.41,43385,55.55,1,1,1,1, 高 28, 塔楼,2005, 简装, 钢混,0.273,1,0,0, 丰台,48528
8037,1.11103E+12, 2016-08-25,99,3.5,53379,65.57,1,1,1,1, 低 22, 塔楼,2004, 精装, 钢混,0.333,1,1,0, 朝阳,71539
53134,1.11103E+12, 2016-02-02,1,2.4,26706,89.87,2,2,1,1, 低 28, 塔楼,2009, 简装, 钢混,0.25,1,0,0, 朝阳,46072
19436,1.11103E+12, 2016-07-18,5,1.8,39457,45.62,1,0,1,1, 中 6, 板楼,2006, 精装, 钢混,0.333,0,0,0, 朝阳,45375
57456,1.11103E+12, 2016-03-01,1,3.48,53712,64.79,1,0,1,1, 中 18, 塔楼,2000, 简装, 钢混,0.231,1,1,1, 东城,62011
6603,1.11103E+12, 2016-06-25,51,2.875,34639,83,2,1,1,0, 低 16, 塔楼,2009, 简装, 钢混,0.188,1,1,1, 朝阳,49691
34539,1.11103E+12, 2016-10-07,28,6.13,59308,103.36,2,1,1,1, 顶 12, 板楼,2004, 精装, 钢混,0.5,1,0,1, 朝阳,59213
63804,1.11103E+12, 2016-04-16,1,2.4,45541,52.7,1,1,1,1, 中 13, 板楼,2006, 精装, 钢混,0.5,1,1,0, 石景山,63657
1952,1.11103E+12, 2016-08-22,165,4,39604,101,2,1,1,1, 中 16, 板塔结合,2006, 精装, 钢混,0.4,1,1,0, 朝阳,54817
56258,1.11103E+12, 2016-05-15,1,2.39,44064,54.24,1,1,1,1, 中 6, 板楼,2005, 简装, 钢混,0.333,0,0,0, 朝阳,60403
14182,1.11105E+12, 2016-06-29,10,2.24,28265,79.25,2,2,1,1, 低 20, 板塔结合,2013, 精装, 钢混,0.5,0,0,0, 丰台,44275
9617,1.11103E+12, 2016-07-28,60,3.66,45750,80,1,1,1,1, 中 24, 塔楼,2003, 精装, 钢混,0.25,1,1,1, 朝阳,55177
